mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,zcr,form1,form2,form3,form4,m_centr,m_rollof,m_flatness,label
-0.73403,-0.65915,-0.6217,-0.36909,-0.32322,-0.32228,-0.40825,-0.47669,-0.49164,-0.65776,-0.72424,-0.52073,-0.562,0.040457,472.84,890.52,1737.2,2755.4,756.57,1360.6,0.0038205,bird
-0.79928,-0.74822,-0.82282,-0.81249,-0.81486,-0.87212,-0.84615,-0.82886,-0.85987,-0.7945,-0.79692,-0.8467,-0.80493,0.047128,732.91,1024.3,1719.4,3083,988.81,1576.2,0.0031257,bird
-0.52044,-0.6078,-0.63162,-0.66085,-0.67402,-0.75852,-0.85534,-0.80463,-0.67837,-0.67379,-0.75604,-0.75582,-0.84413,0.076956,493.83,1019.6,2174.2,2744.2,1534.6,2972.8,0.0034124,bird
-0.97323,-0.88301,-0.79509,-0.92048,-0.87548,-1.0022,-0.8823,-0.82091,-0.81183,-0.83103,-0.7516,-0.9457,-0.99009,0.024922,766.53,1098.1,2180.8,3441.3,457.39,783.65,0.0025517,bird
-0.90742,-0.91863,-0.9521,-0.89304,-0.91302,-0.93606,-0.98362,-0.9202,-0.75472,-0.70799,-0.72292,-0.75463,-0.82349,0.056441,828.42,1100.1,2523.5,3595.7,1017,1664.4,0.0053935,bird
-0.8506,-0.86965,-0.84257,-0.93423,-0.84417,-0.68652,-0.6022,-0.5681,-0.62044,-0.56677,-0.60385,-0.57167,-0.63518,0.085098,806.81,1038.8,2261.4,3488.1,884.54,2166,0.0081453,bird
-1.1972,-1.217,-1.1381,-1.1856,-1.1672,-1.2282,-1.1067,-0.96455,-1.0755,-1.021,-0.99591,-1.0948,-1.2343,0.14577,891.85,1279.9,1898.1,2866.4,2315.5,8072.8,0.033362,bird
-0.83431,-0.79015,-0.83716,-0.86801,-0.96637,-0.94554,-0.82691,-0.86534,-0.9391,-0.84243,-0.86327,-0.82364,-0.83577,0.083844,695.41,1258,2070.5,3782.7,1749.9,4074.1,0.0053273,bird
-0.89431,-0.9103,-0.87463,-0.91764,-0.80749,-0.82115,-0.8135,-0.65497,-0.7437,-0.73457,-0.72457,-0.79731,-0.79771,0.054812,1132,1181.3,2162,4046.8,978.49,1520.4,0.0050443,bird
-0.878,-0.81222,-0.9183,-0.88965,-0.83515,-0.67267,-0.70552,-0.67236,-0.62237,-0.66184,-0.74167,-0.80144,-0.68951,0.10571,1034,1485.9,3484,4495.7,1730.6,4472.2,0.022027,bird
-1.6803,-1.5189,-1.5816,-1.4771,-1.4663,-1.405,-1.4006,-1.4044,-1.3255,-1.5515,-1.3461,-1.267,-1.4329,0.025472,482.23,989.92,1840.2,3500.2,639.37,997.44,0.0017805,bird
